iter	Passed	Remaining
412	3591	5104
413	3600	5096
414	3609	5087
415	3617	5078
416	3627	5070
417	3635	5061
418	3643	5052
419	3652	5043
420	3661	5035
421	3670	5026
422	3678	5017
423	3687	5009
424	3695	4999
425	3704	4991
426	3712	4982
427	3721	4973
428	3729	4964
429	3738	4955
430	3746	4946
431	3755	4937
432	3763	4928
433	3772	4920
434	3781	4911
435	3789	4902
436	3798	4893
437	3806	4884
438	3815	4875
439	3823	4866
440	3832	4857
441	3840	4848
442	3849	4839
443	3857	4830
444	3865	4821
445	3874	4812
446	3883	4804
447	3892	4795
448	3900	4786
449	3909	4778
450	3918	4769
451	3927	4761
452	3936	4752
453	3944	4743
454	3953	4735
455	3962	4726
456	3970	4717
457	3979	4709
458	3987	4700
459	3996	4691
460	4005	4682
461	4013	4674
462	4022	4665
463	4030	4656
464	4039	4647
465	4048	4638
466	4056	4629
467	4065	4621
468	4074	4612
469	4082	4604
470	4091	4595
471	4100	4586
472	4108	4577
473	4117	4569
474	4125	4560
475	4134	4551
476	4142	4542
477	4151	4534
478	4160	4525
479	4169	4516
480	4178	4508
481	4186	4499
482	4195	4490
483	4204	4481
484	4213	4473
485	4221	4464
486	4230	4456
487	4238	4447
488	4247	4438
489	4256	4429
490	4264	4420
491	4273	4411
492	4281	4403
493	4289	4394
494	4298	4385
495	4306	4376
496	4315	4367
497	4324	4358
498	4332	4350
499	4341	4341
500	4350	4332
501	4358	4324
502	4367	4315
503	4375	4306
504	4384	4297
505	4393	4288
506	4401	4280
507	4410	4271
508	4419	4263
509	4429	4255
510	4437	4246
511	4446	4237
512	4455	4229
513	4463	4220
514	4472	4212
515	4481	4203
516	4490	4194
517	4498	4186
518	4507	4177
519	4516	4168
520	4525	4160
521	4533	4151
522	4541	4142
523	4550	4133
524	4558	4124
525	4567	4115
526	4576	4107
527	4584	4098
528	4593	4089
529	4601	4080
530	4610	4072
531	4618	4063
532	4627	4054
533	4635	4045
534	4644	4036
535	4652	4027
536	4661	4019
537	4670	4010
538	4679	4002
539	4688	3993
540	4696	3984
541	4705	3975
542	4714	3967
543	4722	3958
544	4731	3950
545	4739	3941
546	4748	3932
547	4756	3923
548	4765	3914
549	4774	3906
550	4782	3897
551	4790	3888
552	4799	3879
553	4808	3870
554	4816	3862
555	4825	3853
556	4833	3844
557	4841	3835
558	4850	3826
559	4859	3817
560	4867	3809
561	4876	3800
562	4884	3791
563	4892	3782
564	4901	3773
565	4909	3764
566	4918	3755
567	4926	3747
568	4935	3738
569	4943	3729
570	4951	3720
571	4961	3712
572	4969	3703
573	4978	3694
574	4986	3685
575	4995	3677
576	5003	3668
577	5012	3659
578	5020	3650
579	5029	3642
580	5038	3633
581	5047	3624
582	5055	3615
583	5064	3607
584	5073	3598
585	5081	3589
586	5089	3581
587	5098	3572
588	5107	3563
589	5115	3555
590	5124	3546
591	5133	3537
592	5141	3528
593	5150	3520
594	5159	3511
595	5167	3503
596	5175	3493
597	5184	3485
598	5193	3476
599	5201	3467
600	5210	3459
601	5218	3450
602	5227	3441
603	5235	3432
604	5243	3423
605	5252	3414
606	5260	3406
607	5269	3397
608	5277	3388
609	5286	3379
610	5294	3370
611	5302	3361
612	5311	3353
613	5319	3344
614	5328	3335
615	5337	3327
616	5345	3318
617	5353	3309
618	5362	3300
619	5371	3291
620	5379	3283
621	5388	3274
622	5397	3266
623	5406	3257
624	5415	3249
625	5424	3240
626	5432	3232
627	5441	3223
628	5449	3214
629	5458	3205
630	5466	3196
631	5475	3188
632	5483	3179
633	5492	3170
634	5501	3162
635	5509	3153
636	5518	3144
637	5526	3135
638	5534	3126
639	5543	3117
640	5551	3109
641	5559	3100
642	5568	3091
643	5577	3083
644	5586	3074
645	5595	3066
646	5603	3057
647	5612	3048
648	5620	3039
649	5628	3030
650	5637	3022
651	5646	3013
652	5655	3005
653	5664	2996
654	5672	2987
655	5680	2979
656	5689	2970
657	5698	2961
658	5706	2953
659	5715	2944
660	5724	2935
661	5732	2926
662	5740	2917
663	5748	2908
664	5757	2900
665	5765	2891
666	5774	2882
667	5782	2873
668	5791	2865
669	5799	2856
670	5808	2847
671	5816	2839
672	5825	2830
673	5834	2821
674	5843	2813
675	5852	2804
676	5861	2796
677	5869	2787
678	5878	2778
679	5886	2770
680	5894	2761
681	5903	2752
682	5912	2744
683	5920	2735
684	5929	2726
685	5937	2717
686	5946	2709
687	5955	2700
688	5963	2691
689	5972	2683
690	5981	2674
691	5989	2666
692	5998	2657
693	6006	2648
694	6015	2639
695	6024	2631
696	6033	2622
697	6042	2614
698	6050	2605
699	6058	2596
700	6067	2587
701	6075	2579
702	6084	2570
703	6092	2561
704	6101	2552
705	6109	2544
706	6118	2535
707	6126	2526
708	6135	2518
709	6143	2509
710	6152	2500
711	6161	2492
712	6169	2483
713	6178	2474
714	6186	2466
715	6195	2457
716	6203	2448
717	6212	2439
718	6220	2431
719	6229	2422
720	6238	2413
721	6246	2405
722	6254	2396
723	6263	2387
724	6271	2378
725	6280	2370
726	6288	2361
727	6297	2352
728	6306	2344
729	6315	2335
730	6323	2327
731	6332	2318
732	6340	2309
733	6348	2300
734	6357	2292
735	6366	2283
736	6374	2274
737	6383	2266
738	6392	2257
739	6400	2248
740	6409	2240
741	6417	2231
742	6426	2222
743	6434	2214
744	6443	2205
745	6452	2196
746	6461	2188
747	6469	2179
748	6477	2170
749	6486	2162
750	6494	2153
751	6503	2144
752	6512	2136
753	6520	2127
754	6529	2118
755	6537	2110
756	6546	2101
757	6554	2092
758	6563	2084
759	6572	2075
760	6580	2066
761	6589	2058
762	6597	2049
763	6605	2040
764	6614	2032
765	6623	2023
766	6632	2014
767	6642	2006
768	6651	1998
769	6659	1989
770	6668	1980
771	6677	1972
772	6686	1963
773	6694	1954
774	6703	1946
775	6711	1937
776	6720	1928
777	6728	1920
778	6736	1911
779	6745	1902
780	6754	1893
781	6762	1885
782	6771	1876
783	6779	1867
784	6788	1859
785	6796	1850
786	6804	1841
787	6813	1833
788	6822	1824
789	6830	1815
790	6839	1807
791	6848	1798
792	6856	1789
793	6865	1781
794	6874	1772
795	6882	1763
796	6891	1755
797	6900	1746
798	6910	1738
799	6918	1729
800	6926	1720
801	6935	1712
802	6944	1703
803	6953	1695
804	6961	1686
805	6970	1677
806	6980	1669
807	6989	1660
808	6997	1652
809	7006	1643
810	7015	1634
811	7024	1626
812	7033	1617
813	7042	1609
814	7051	1600
815	7059	1591
816	7068	1583
817	7077	1574
818	7085	1565
819	7094	1557
820	7102	1548
821	7111	1539
822	7119	1531
823	7128	1522
824	7138	1514
825	7147	1505
826	7155	1496
827	7164	1488
828	7172	1479
829	7181	1470
830	7190	1462
831	7198	1453
832	7207	1444
833	7215	1436
834	7224	1427
835	7232	1418
836	7241	1410
837	7249	1401
838	7257	1392
839	7266	1384
840	7274	1375
841	7282	1366
842	7291	1357
843	7299	1349
844	7308	1340
845	7317	1331
846	7325	1323
847	7334	1314
848	7342	1305
849	7351	1297
850	7360	1288
851	7368	1279
852	7376	1271
853	7386	1262
854	7396	1254
855	7404	1245
856	7413	1237
857	7421	1228
858	7430	1219
859	7439	1211
860	7446	1202
861	7455	1193
862	7463	1184
863	7471	1176
864	7480	1167
865	7488	1158
866	7497	1150
867	7505	1141
868	7513	1132
869	7522	1124
870	7531	1115
871	7540	1106
872	7548	1098
873	7557	1089
874	7566	1080
875	7574	1072
876	7583	1063
877	7591	1054
878	7600	1046
879	7608	1037
880	7617	1028
881	7626	1020
882	7634	1011
883	7643	1002
884	7652	994
885	7660	985
886	7669	977
887	7678	968
888	7686	959
889	7695	951
890	7703	942
891	7711	933
892	7720	925
893	7728	916
894	7737	907
895	7746	899
896	7754	890
897	7763	881
898	7772	873
899	7781	864
900	7790	855
901	7798	847
902	7807	838
903	7815	829
904	7824	821
905	7832	812
906	7841	804
907	7850	795
908	7859	786
909	7867	778
910	7876	769
911	7890	761
912	7900	752
913	7910	744
914	7919	735
915	7928	727
916	7937	718
917	7946	709
918	7954	701
919	7963	692
920	7972	683
921	7980	675
922	7989	666
923	7997	657
924	8006	649
925	8015	640
926	8024	631
927	8033	623
928	8041	614
929	8050	605
930	8058	597
931	8067	588
932	8075	579
933	8084	571
934	8092	562
935	8100	553
936	8109	545
937	8118	536
938	8127	527
939	8136	519
940	8145	510
941	8154	502
942	8162	493
943	8171	484
944	8180	476
945	8189	467
946	8197	458
947	8206	450
948	8214	441
949	8223	432
950	8231	424
951	8240	415
952	8248	406
953	8256	398
954	8265	389
955	8273	380
956	8282	372
957	8291	363
958	8300	354
959	8309	346
960	8317	337
961	8325	328
962	8334	320
963	8342	311
964	8350	302
965	8359	294
966	8368	285
967	8377	276
968	8385	268
969	8394	259
970	8403	250
971	8411	242
972	8420	233
973	8428	224
974	8436	216
975	8445	207
976	8454	199
977	8462	190
978	8470	181
979	8479	173
980	8487	164
981	8496	155
982	8504	147
983	8513	138
984	8521	129
985	8530	121
986	8540	112
987	8549	103
988	8558	95
989	8567	86
990	8575	77
991	8584	69
992	8592	60
993	8601	51
994	8609	43
995	8618	34
996	8627	25
997	8635	17
998	8644	8
999	8652	0
