iter	Logloss
0	0.6917154991
1	0.6901160615
2	0.6890630461
3	0.6875009325
4	0.6862278463
5	0.6851713824
6	0.683727016
7	0.6821895918
8	0.6808766394
9	0.6794014626
10	0.6782539469
11	0.6772366889
12	0.6762371476
13	0.6750040372
14	0.6742684496
15	0.6730534395
16	0.6721026213
17	0.6707379603
18	0.6696833352
19	0.6691401069
20	0.6680017356
21	0.6672378196
22	0.6662731659
23	0.6655857204
24	0.6644727283
25	0.6633999487
26	0.6621343874
27	0.661122326
28	0.6601899391
29	0.6594985384
30	0.65872954
31	0.6581471569
32	0.6573793986
33	0.6563623444
34	0.6553719376
35	0.6546690502
36	0.6539603304
37	0.6532905202
38	0.6524235671
39	0.6515822172
40	0.6508239887
41	0.6503613265
42	0.6498247372
43	0.6490515844
44	0.6476818615
45	0.6468466364
46	0.6459551039
47	0.6453334856
48	0.6445509359
49	0.6437318282
50	0.6429907569
51	0.6424052373
52	0.6415486995
53	0.6406118188
54	0.6401204793
55	0.6395044122
56	0.6390020758
57	0.6384024128
58	0.6377524306
59	0.6369275899
60	0.6361758662
61	0.6355516798
62	0.6351268085
63	0.6345574774
64	0.6338177276
65	0.6330855414
66	0.6325456173
67	0.6319094445
68	0.6311351741
69	0.6308031645
70	0.6302754305
71	0.6297348909
72	0.629427845
73	0.628860978
74	0.6282832534
75	0.6274541837
76	0.6266499409
77	0.6261084552
78	0.6255304792
79	0.625060629
80	0.6246949937
81	0.624170443
82	0.6232326439
83	0.6225610701
84	0.622190708
85	0.6217249066
86	0.6212980595
87	0.6208881979
88	0.6204098385
89	0.6197898529
90	0.6193069481
91	0.6189066942
92	0.618563589
93	0.6180243237
94	0.6175489358
95	0.6168751624
96	0.6163797882
97	0.6158647806
98	0.6156912323
99	0.6151786779
100	0.6144986588
101	0.6138908659
102	0.6135041603
103	0.6130750595
104	0.6125520709
105	0.6121437454
106	0.6116568996
107	0.6110584225
108	0.6106206046
109	0.6102920768
110	0.6100513516
111	0.6095641381
112	0.6090850868
113	0.6088095754
114	0.6085126629
115	0.6080524396
116	0.6076966063
117	0.6071685704
118	0.6067955045
119	0.6059462578
120	0.6053946648
121	0.6047831958
122	0.6044415127
123	0.604012543
124	0.6035428052
125	0.6031523206
126	0.602558113
127	0.6019781156
128	0.6014422244
129	0.6009874569
130	0.600387055
131	0.6000732195
132	0.5996973102
133	0.5994448704
134	0.5991207003
135	0.5985466206
136	0.5981846719
137	0.5975628883
138	0.5972016564
139	0.5968012251
140	0.5961519331
141	0.5955033071
142	0.5950623084
143	0.5946324993
144	0.594171153
145	0.5939177749
146	0.5934208284
147	0.5928157088
148	0.5922863159
149	0.5917907795
150	0.5911930828
151	0.5908010703
152	0.5905086011
153	0.5901695075
154	0.5898904204
155	0.5896204836
156	0.5891583925
157	0.5886378976
158	0.5883387217
159	0.5877057148
160	0.5869855237
161	0.5865304891
162	0.5861056163
163	0.5858472386
164	0.5851748804
165	0.5845747102
166	0.5841379473
167	0.5836163062
168	0.5831454696
169	0.5827312304
170	0.5822523928
171	0.5819058714
172	0.5817501503
173	0.5813541005
174	0.5811011091
175	0.5806907066
176	0.5803843241
177	0.580094715
178	0.5796020614
179	0.5792728875
180	0.5788638177
181	0.5785284603
182	0.57814462
183	0.5775885754
184	0.5772191178
185	0.5770263607
186	0.5766552978
187	0.576113159
188	0.5757297263
189	0.5754865005
190	0.5746985915
191	0.5741193707
192	0.5734927659
193	0.5730816896
194	0.5726768655
195	0.5721936815
196	0.5716157615
197	0.5710914049
198	0.5706545031
199	0.5700434057
200	0.5698079895
201	0.5691549067
202	0.5686912666
203	0.5683763308
204	0.567786892
205	0.5674393215
206	0.5668456347
207	0.5665065901
208	0.5658801996
209	0.5654154502
210	0.5651455501
211	0.5649297864
212	0.5644136124
213	0.5639308579
214	0.5633360792
215	0.5626200778
216	0.5619883344
217	0.5612721502
218	0.5606639373
219	0.5602158825
220	0.5597458428
221	0.5591769784
222	0.5587456706
223	0.5578420298
224	0.5574208021
225	0.5567201292
226	0.5563762731
227	0.5561527365
228	0.5557916296
229	0.5555111489
230	0.5549998062
231	0.5542112245
232	0.5534917087
233	0.553240571
234	0.5527843673
235	0.5524067261
236	0.551932321
237	0.5514242654
238	0.55091534
239	0.550371149
240	0.5498796797
241	0.5490998844
242	0.5489130846
243	0.5486827707
244	0.5482576438
245	0.5475650012
246	0.5469573717
247	0.54663276
248	0.5463470557
